353,-,Computers in everyday life,Kumar Kartikey,Cordova Publication Pvt. Ltd.,-,-,2nd Standard,-,-,110
354,-,Chips and Bits : - Information technology outlook,Gurpreet Bindra,Tarun Publiactions,-,-,2nd Standard,-,-,95
355,-,Start up Computer Science,Vandana Toor,Viva Education,-,-,2nd Standard,-,-,0
356,-,New Simplified Computers,P.K. Singh,FK Publication,-,-,2nd Standard,-,-,0
357,-,I. T. Tools Plus,add,Kips Publishing World,-,-,2nd Standard,-,-,0
359,-,Learnwell computers,P. Kumar,Holy Faith International,-,-,2nd Standard,-,-,80
366,-,English Grammar and Composition,"Pal, R",Sultan Chand Educational Publishers,-,-,2nd Standard,-,-,85
375,-,Little Leaders,"Khera, S",Macmillan Publisher India Ltd.,-,-,2nd Standard,-,-,98
376,-,Moral Studies : Path of living,"Boroliya, E",Vikas Books Ltd.,-,-,2nd Standard,-,-,0
403,-,Endless Worlds : the franks GK. Series,"Mohindra, S",Frank Bros & Co.,-,-,2nd Standard,-,-,72
411,-,I Know,"Sharma, A",Macmillan Publisher India Ltd.,-,-,2nd Standard,-,-,0
421,-,General Knowledge Times,"Vijaya, SR",Goyal brothers Prakashan,-,-,2nd Standard,-,-,0
423,-,Mr. Know All GK.,"Ramanathan, K",Arrow Publication Pvt. Ltd.,-,-,2nd Standard,-,-,87
425,-,Joy of Knowledge,"Kandhari, M",Holy Faith International,-,-,2nd Standard,-,-,0
426,-,Jeevandeep general knowledge,"Kapoor, A.",Jeevandeep Prakashan Pvt. Ltd.,-,-,2nd Standard,-,-,0
427,-,The Frank Gk. Series,"Mahanty, S.",Frank Bros & Co.,-,-,2nd Standard,-,-,0
434,-,My E V S,"Siddiqi, N.",Navdeep Publication,-,-,2nd Standard,-,-,0
435,-,Knowledge Plus : A Graded course in GK.,"Fanthome, F",Ratna Sagar Pvt. Ltd.,-,-,2nd Standard,-,-,0
436,-,Periwinkle General Science Course Book,"Menezes, B.",Periwinkle  Books,-,-,2nd Standard,-,-,0
443,-,General Knowledge,"Sebastian, T.",Oxford University Press,-,-,2nd Standard,-,-,0
444,-,Social science,-,Millennium booksource private ltd,-,-,8th Standard,-,-,399
445,-,Knoledge Ahead GK.,"Bhansali, J.",Orient Longman,-,-,2nd Standard,-,-,70
447,-,Knowledge Hunt Gk.,"Mehtani, H.",Madhubun Educational Books,-,-,2nd Standard,-,-,0
448,-,Scholar Book of general knowledge,Archana.,FK Publication,-,-,2nd Standard,-,-,0
