GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
2798,1,1,0,0,0,0,1,0,0
2799,1,0,0,0,0,0,1,0,0
2800,1,0,0,0,0,0,1,0,0
2803,1,0,0,0,1,0,1,0,0
2808,1,1,0,0,0,0,1,0,0
2809,1,1,0,0,0,0,1,0,0
2810,1,0,0,0,0,0,1,0,0
2811,0,0,0,0,0,0,0,0,0
2813,1,1,0,0,0,0,1,0,0
2815,1,1,0,0,0,0,1,0,0
2821,1,1,1,1,0,0,1,0,0
2829,1,1,0,0,0,0,1,0,0
2843,0,0,0,0,0,0,0,0,0
2846,0,0,0,0,0,0,0,0,0
2847,1,0,0,0,0,0,1,0,0
2850,1,0,0,0,0,0,1,0,0
2853,1,0,0,0,0,0,1,0,0
2854,1,0,0,0,0,0,1,0,0
2855,1,1,0,0,0,0,1,0,0
2856,1,0,0,0,0,0,1,0,0
2858,1,1,0,0,0,0,1,0,0
2862,1,1,1,1,0,0,1,0,0
2863,1,0,0,0,0,0,1,0,0
2864,0,0,0,0,0,0,0,0,0
2865,0,0,0,0,0,0,0,0,0
2866,1,0,0,0,0,0,1,0,0
2869,1,0,0,0,0,0,1,0,0
2872,1,0,0,0,0,0,1,0,0
2876,0,0,0,0,0,0,0,0,0
2877,1,0,0,0,0,0,1,0,0
2879,1,1,0,0,0,0,1,0,0
2880,1,0,0,0,0,0,1,0,0
2881,1,1,0,0,0,0,1,0,0
2882,1,0,0,0,0,0,1,0,0
2883,1,0,0,0,0,0,1,0,0
2884,1,1,0,0,0,0,1,0,0
2885,1,1,0,0,0,0,1,0,0
2886,1,1,0,0,0,0,1,0,0
2887,1,1,0,0,0,0,1,0,0
2888,0,0,0,0,0,0,0,0,0
2889,0,0,0,0,0,0,0,0,0
2890,1,1,0,0,0,0,1,0,0
2891,1,1,1,1,0,0,1,0,0
2892,1,1,1,1,0,0,1,0,0
2893,1,0,0,0,0,0,1,0,0
2894,1,1,0,0,0,0,1,0,0
2895,1,1,0,0,0,0,1,0,0
2896,1,0,0,0,0,0,1,0,0
2900,1,1,0,0,0,0,1,0,0
2901,1,1,0,0,0,0,1,0,0
2902,1,0,0,0,0,0,1,0,0
2903,1,1,1,1,0,0,1,0,0
2904,0,0,0,0,0,0,0,0,0
2905,1,0,0,0,0,0,1,0,0
2906,1,0,0,0,0,0,1,0,0
2907,1,0,0,0,0,0,1,0,0
