GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
2480,410640878510, , , , , ,410640878510, , 
2481,007661,007661,007661,007661, , ,007661, , 
2482,410407651921,410407651921, , , , ,410407651921, , 
2484,218934,218934,218934,218934, , ,218934, , 
2486,175939, , , , , ,175939, , 
2487,000045, , , , , ,000045, , 
2488,000019, , , , , ,000019, , 
2489,020020,020020,020020,020020, , ,020020, , 
2490,409704072458, , , , , ,409704072458, , 
2491,415771886557, , , , , ,415771886557, , 
2492,000013,000013, , , , ,000013, , 
2495,1394626331 (20/3/24),1394626331 (20/3/24), , , , ,1394626331 (20/3/24), , 
2496,409480417286, , , , , ,409480417286, , 
2497, , , , , , , , , 
2499,001679,001679, , ,001679, ,001679, , 
2500,414331120270,414331120270, , ,414331120270, ,414331120270, , 
2515,410697102854,410697102854, , , , ,410697102854, , 
2516,000120,000120, , , , ,000120, , 
2518,704606, , , , , ,704606, , 
2520,964028,964028, , ,964028, ,964028, , 
2521, , , , , , , , , 
2522,244242,244242,244242,244242, , ,244242, , 
2523, , , , , , , , , 
2524,410665304380, , , , , ,410665304380, , 
2525,000022,000022, , , , ,000022, , 
2526,703368,703368, , , , ,703368, , 
2530,000226,000226, , , , ,000226, , 
2531,000473,000473, , , , ,000473, , 
2542,021702,021702,021702,021702, , ,021702, , 
2554,430466, , , , , ,430466, , 
2559,252405,252405, , ,252405, ,252405, , 
2565,065832, , , , , ,065832, , 
2568,000057,000057,000057,000057, , ,000057, , 
2574,408247280321,408247280321,408247280321,408247280321, , ,408247280321, , 
2591,461020,461020, , , , ,461020, , 
2592,000033,000033,000033,000033, , ,000033, , 
2594, , , , , , , , , 
2602, , , , , , , , , 
2603, , , , , , , , , 
2604,000048,000048,000048,000048, , ,000048, , 
2605,927368,927368, , , , ,927368, , 
2606,076847, , , , , ,076847, , 
2608, , , , , , , , , 
2609, , , , , , , , , 
2610,844998,844998, , , , ,844998, , 
2611,000046,000046,000046,000046, , ,000046, , 
2612,409487724934 ,409487724934 , , , , ,409487724934 , , 
2613, , , , , , , , , 
2614,409714599706,409714599706, , , , ,409714599706, , 
2615,410677259073, , , , , ,410677259073, , 
2616,410694577740,410694577740, , , , ,410694577740, , 
2617,000048,000048,000048,000048, , ,000048, , 
2619,410309760016, , , , , ,410309760016, , 
2620,604934,604934, , , , ,604934, , 
2621,410611640575,410611640575,410611640575,410611640575, , ,410611640575, , 
2622,000026,000026,000026,000026, , ,000026, , 
2624,921860,921860, , , , ,921860, , 
2625,447990049425, , , , , ,447990049425, , 
2627,236052,236052,236052,236052, , ,236052, , 
2629,408201290890,408201290890,408201290890,408201290890, , ,408201290890, , 
2630,408201212212,408201212212,408201212212,408201212212, , ,408201212212, , 
2631,016536, , , , , ,016536, , 
2634,UPI=410622521769=6175+UPI=410693414374=1000 (15/4/24), , , , , ,UPI=410622521769=6175+UPI=410693414374=1000 (15/4/24), , 
2636,408209379198,408209379198, , , , ,408209379198, , 
2637,000019, , , , , ,000019, , 
2638, , , , , , , , , 
2640,034092,034092,034092,034092, , ,034092, , 
2641,611703,611703, , , , ,611703, , 
2642,445825323722,445825323722, , , , ,445825323722, , 
